ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
701475,Photo,Jungle Babbler (Jungle),Argya striata [striata Group],,Subramanya C K,,,,,,India,IN-KA-KD,Karnataka,Kodagu,Nagarahole National Park,12.0450000,76.1315000,"","",Unspecified,"","",,IBC951706,,,,,,"",,,"Nagarahole National Park. IBC scientific name: Turdoides striata. Elevation: 818 m. Date added to IBC: June 21, 2016.",,Argya striata,junbab1,Group,,,3.00,4,"",599,800
701476,Photo,Long-tailed Shrike,Lanius schach,,Subramanya C K,,,,,,India,IN-KA-BN,Karnataka,Bengaluru Urban,Bangalore,12.9885000,77.5951000,"","",Unspecified,"","",,IBC951707,,,,,,"",,,"Bangalore Outskirts. Elevation: 924 m. Date added to IBC: June 21, 2016.",,Lanius schach,lotshr1,Species,,,4.00,4,"",752,774
701477,Photo,Malabar Parakeet,Psittacula columboides,,Subramanya C K,,,,,,India,IN-KA,Karnataka,,Karnataka,14.6930171,76.1670177,"","",Unspecified,"","",,IBC951708,,,,,,"",,,"Bhadra Tiger Reserve -> Muthodi Range -> Karnataka -> India. Original IBC location name and coordinates: Karnataka (14.8067,75.7068). Elevation: 534 m. Date added to IBC: June 21, 2016.",,Psittacula columboides,malpar1,Species,,,2.00,4,"",800,771
701478,Photo,Malabar Pied-Hornbill,Anthracoceros coronatus,,Subramanya C K,,,,,,India,IN-KA,Karnataka,,Karnataka,14.6930171,76.1670177,"","",Unspecified,"","",,IBC951709,,,,,,"",,,"Dandeli- > Western Ghats -> Karnataka -> India. Original IBC location name and coordinates: Karnataka (14.8067,75.7068). Elevation: 534 m. Date added to IBC: June 21, 2016.",,Anthracoceros coronatus,maphor1,Species,,,3.00,4,"",800,640
701479,Photo,Pale-billed Flowerpecker,Dicaeum erythrorhynchos,,Subramanya C K,,,,,,India,IN-KA-BN,Karnataka,Bengaluru Urban,Bangalore,12.9885000,77.5951000,"","",Unspecified,"","",,IBC951710,,,,,,"",,,"Bangalore. Elevation: 924 m. Date added to IBC: June 21, 2016.",,Dicaeum erythrorhynchos,pabflo1,Species,,,3.00,4,"",800,600
701480,Photo,Spot-billed Pelican,Pelecanus philippensis,,Subramanya C K,,,,,,India,IN-KA-BN,Karnataka,Bengaluru Urban,Bangalore,12.9885000,77.5951000,"","",Unspecified,"","",,IBC951711,,,,,,"",,,"Hebbala -> Bangalore -> Karnataka -> India. Elevation: 924 m. Date added to IBC: June 21, 2016.",,Pelecanus philippensis,spbpel1,Species,,,4.00,4,"",536,800
701481,Photo,Pheasant-tailed Jacana,Hydrophasianus chirurgus,,Subramanya C K,,,,,,India,IN-KA-RM,Karnataka,Ramanagara,Bangalore Rural,13.0474000,77.1295000,"","",Unspecified,"","",,IBC951712,,,,,,"",,,"Harohalli Lake -> Bangalore Rural -> Karnataka -> India. Elevation: 817 m. Date added to IBC: June 21, 2016.",,Hydrophasianus chirurgus,phtjac1,Species,,,3.00,4,"",588,800
701482,Photo,Pied Bushchat,Saxicola caprata,,Subramanya C K,,,,,,India,IN-KA-BN,Karnataka,Bengaluru Urban,Bangalore,12.9885000,77.5951000,"","",Unspecified,"","",,IBC951713,,,,,,"",,,"Bangalore. Elevation: 924 m. Date added to IBC: June 21, 2016.",,Saxicola caprata,piebus1,Species,,,3.40,5,"",619,800
701483,Photo,Puff-throated Babbler,Pellorneum ruficeps,,Subramanya C K,,,,,,India,IN-KA-RM,Karnataka,Ramanagara,Bangalore Rural,13.0474000,77.1295000,"","",Unspecified,"","",,IBC951714,,,,,,"",,,"Nandi Hills -> Bangalore Rural -> Karnataka -> India. Elevation: 817 m. Date added to IBC: June 21, 2016.",,Pellorneum ruficeps,putbab1,Species,,,4.00,4,"",566,800
701484,Photo,Purple-rumped Sunbird,Leptocoma zeylonica,,Subramanya C K,,,,,,India,IN-KA,Karnataka,,Karnataka,14.6930171,76.1670177,"","",Unspecified,"","",,IBC951715,,,,,,"",,,"Ganeshgudi -> Western Ghats -> Karnataka -> India. Original IBC location name and coordinates: Karnataka (14.8067,75.7068). Elevation: 534 m. Date added to IBC: June 21, 2016.",,Leptocoma zeylonica,pursun3,Species,,,3.83,6,"",529,800
701485,Photo,Asian Green Bee-eater,Merops orientalis,,Subramanya C K,,,,,,India,IN-KA,Karnataka,,Karnataka,14.6930171,76.1670177,"","",Unspecified,"","",,IBC951717,,,,,,"",,,"Hunsur Outskirts -> Karnataka -> India. IBC scientific name: Merops orientalis. Original IBC location name and coordinates: Karnataka (14.8067,75.7068). Elevation: 534 m. Date added to IBC: June 21, 2016.",,Merops orientalis,grnbee3,Group,,,3.00,4,"",800,615
701486,Photo,Spotted Dove (Western),Spilopelia chinensis suratensis,,Subramanya C K,,,,,,India,IN-KA-KD,Karnataka,Kodagu,Nagarahole National Park,12.0450000,76.1315000,"","",Unspecified,"","",,IBC951719,,,,,,"",,,"Nagarahole. IBC scientific name: Spilopelia suratensis. Elevation: 818 m. Date added to IBC: June 21, 2016.",,Spilopelia chinensis,spodov1,Group,,,4.00,5,"",800,422
701487,Photo,"Tickell's Blue Flycatcher",Cyornis tickelliae,,Subramanya C K,,,,,,India,IN-KA-BN,Karnataka,Bengaluru Urban,Bangalore,12.9885000,77.5951000,"","",Unspecified,"","",,IBC951720,,,,,,"",,,"Bangalore. IBC scientific name: Cyornis tickelliae tickelliae. Elevation: 924 m. Date added to IBC: June 21, 2016.",,Cyornis tickelliae,tibfly3,Species,,,4.00,4,"",742,875
701488,Photo,White-browed Bulbul,Pycnonotus luteolus,,Subramanya C K,,,,,,India,IN-KA-BN,Karnataka,Bengaluru Urban,Bangalore,12.9885000,77.5951000,"","",Unspecified,"","",,IBC951721,,,,,,"",,,"Bangalore. Elevation: 924 m. Date added to IBC: June 21, 2016.",,Pycnonotus luteolus,whbbul2,Species,,,3.40,5,"",800,639
701489,Photo,White-cheeked Barbet,Psilopogon viridis,,Subramanya C K,,,,,,India,IN-KA-RM,Karnataka,Ramanagara,Bangalore Rural,13.0474000,77.1295000,"","",Unspecified,"","",,IBC951723,,,,,,"",,,"Nandi Hills -> Bangalore Rural -> Karnataka -> India. Elevation: 817 m. Date added to IBC: June 21, 2016.",,Psilopogon viridis,whcbar1,Species,,,4.29,7,"",800,640
701490,Photo,White-rumped Munia,Lonchura striata,,Subramanya C K,,,,,,India,IN-KA-KD,Karnataka,Kodagu,Nagarahole National Park,12.0450000,76.1315000,"","",Unspecified,"","",,IBC951724,,,,,,"",,,"Nagarahole. Elevation: 818 m. Date added to IBC: June 21, 2016.",,Lonchura striata,whrmun,Species,,,4.00,4,"",568,800
701491,Photo,Yucatan Jay,Cyanocorax yucatanicus,,Yvonne Stevens,,,,,,Mexico,MX-TAB-002,Tabasco,Centla,"Pantanos de Centla (18.1746, -92.4857)",18.1746000,-92.4857000,"","",Unspecified,"","",,IBC951784,,,,,,"",,,"High in the trees, on the riverside. IBC scientific name: Cyanocorax yucatanicus yucatanicus. Elevation: 1 m. Date added to IBC: June 21, 2016.",,Cyanocorax yucatanicus,yucjay1,Species,,,3.00,4,"",818,508
701524,Photo,Yellow-browed Bunting,Emberiza chrysophrys,,AUDEVARD Aurélien,,,,,,South Korea,KR-46,Jeonranamdo,,Heuksan-do Island,34.6882000,125.4280000,Adult Male – 1,"",Unspecified,"","",,IBC953640,,,,,,"",,,"adult male. Elevation: 228 m. Date added to IBC: June 21, 2016.",,Emberiza chrysophrys,yebbun1,Species,,,4.00,4,"",793,950
701529,Photo,Purple-rumped Sunbird,Leptocoma zeylonica,,Vasanthan Panchavarnam,,,,,,India,IN-TN,Tamil Nadu,,Tamil Nadu,11.9727878,79.8620796,Adult Male – 1,"",Unspecified,"","",,IBC954220,,,,,,"",,,"A Male Bird. IBC scientific name: Leptocoma zeylonica flaviventris. Original IBC location name and coordinates: Tamil Nadu (11.7383,78.6621). Elevation: 966 m. Date added to IBC: June 21, 2016.",,Leptocoma zeylonica,pursun3,Species,,,3.00,4,"",879,1322
701532,Photo,"Jerdon's Leafbird",Chloropsis jerdoni,,Vasanthan Panchavarnam,,,,,,India,IN-TN-NI,Tamil Nadu,The Nilgiris,Masinagudi,11.5705836,76.6400242,Adult Male – 1,"",Unspecified,"","",,IBC954306,,,,,,"",,,"A male bird. Original IBC location name and coordinates: Masinagudi (11.5724,76.642). Elevation: 944 m. Date added to IBC: June 21, 2016.",,Chloropsis jerdoni,jerlea1,Species,,,3.00,4,"",822,1237
701540,Photo,Strange-tailed Tyrant,Alectrurus risora,,Javier Canevari,,,,,,Argentina,AR-W-SM,Corrientes,San Martín,Carlos Pellegrini y Laguna Iberá (AICA CR10),-28.5355205,-57.1742249,Adult Male – 1,"",Unspecified,"","",,IBC954400,,,,,,"",,,"Male. Original IBC location name and coordinates: Esteros del Iberá (-28.2076,-57.1893). Elevation: 66 m. Date added to IBC: June 21, 2016.",,Alectrurus risora,stttyr1,Species,,,3.83,6,"",1201,1600
701544,Photo,Sierra Madre Sparrow,Xenospiza baileyi,,Hector Gomez de Silva,,,,,,Mexico,MX-DUR-005,Durango,Durango,Bajío de Aguinaldos,23.5835000,-105.0310000,"","",Unspecified,"","",,IBC954537,,,,,,"",,,"A male Sierra Madre Sparrow which showed up for a short time. Elevation: 2519 m. Date added to IBC: June 21, 2016.",,Xenospiza baileyi,simspa1,Species,,,3.00,4,"",591,907
701649,Photo,Northern Masked-Weaver,Ploceus taeniopterus,,Hector Gomez de Silva,,,,,,Kenya,KE-700,Rift Valley,,"Lake Baringo (0.6344, 36.0681)",0.6344000,36.0681000,"",Foraging or Eating,Unspecified,"","",,IBC955742,,,,,,"",,,"several birds at a feeding tray. Two male Golden-backed Weavers and a male Chestnut Sparrow can also be seenPhoto taken in 1990.Two male Golden-backed Weavers and a male Chestnut Sparrow can also be seen. Elevation: 968 m. Date added to IBC: June 21, 2016.",,Ploceus taeniopterus,nomwea1,Species,,,2.00,4,"",1056,1584
701650,Photo,Northern Masked-Weaver,Ploceus taeniopterus,,Hector Gomez de Silva,,,,,,Kenya,KE-700,Rift Valley,,"Lake Baringo (0.6344, 36.0681)",0.6344000,36.0681000,"",Foraging or Eating,Unspecified,"","",,IBC955743,,,,,,"",,,"Several birds at a feeding tray. Photo taken in 1990. Elevation: 968 m. Date added to IBC: June 21, 2016.",,Ploceus taeniopterus,nomwea1,Species,,,2.00,4,"",984,1149
701651,Photo,Vitelline Masked-Weaver,Ploceus vitellinus,,Hector Gomez de Silva,,,,,,Kenya,KE-700,Rift Valley,,Lake Naivasha,-0.7710796,36.3516998,"","",Unspecified,"","",,IBC955747,,,,,,"",,,"A male at a small colony built on the underside of a small colony of Great (African White-necked) Cormorants. The pink legs of the male distinguish it from the similar Lesser Masked Weaver. Original IBC location name and coordinates: Lake Naivasha (-0.7652,36.3496). Elevation: 1881 m. Date added to IBC: June 21, 2016.",,Ploceus vitellinus,vimwea1,Species,,,3.00,4,"",1056,1572
701654,Photo,Vernal Hanging-Parrot,Loriculus vernalis,,Vasanthan Panchavarnam,,,,,,India,IN-TN-NI,Tamil Nadu,The Nilgiris,"Kunjapanai (11.4854, 76.7306)",11.4854000,76.7306000,Unknown – 1,"",Unspecified,"","",,IBC955816,,,,,,"",,,"A bird perched. Elevation: 1698 m. Date added to IBC: June 21, 2016.",,Loriculus vernalis,vehpar1,Species,,,3.00,4,"",832,1249
701656,Photo,Swallow Tanager,Tersina viridis,,Geiser Trivelato,,,,,,Brazil,BR-AM,Amazonas,,Lindóia,-2.9105000,-59.0474000,"","",Unspecified,"","",,IBC955950,,,,,,"",,,"A female collecting moss on a trunk. Published in HBW Volume 16 on page 123. Original HBW caption: The nest of the Swallow Tanager is built by the female from various fibrous materials. The Swallow Tanager is a hole-nesting species, often using existing holes in cliffs and banks, trees and walls, though capable of digging its own hole in soft earth. The eggs are completely white or only lightly marked, which is typical of hole-nesters. Pair formation by this species includes extended bowing, sometimes accompanied by “bouncy hopping” and chasing. Breeding males also bow extensively to each other. IBC scientific name: Tersina viridis viridis. Elevation: 11 m. Date added to IBC: June 21, 2016.",,Tersina viridis,swatan1,Species,,,4.00,4,"",1200,1800
701661,Photo,Black-backed Bush Tanager,Urothraupis stolzmanni,,Diego Calderón-Franco @diegoCOLbirding,,,,,,Colombia,CO-TOL,Tolima,,"Los Nevados National Park (4.7954, -75.3683)",4.7954000,-75.3683000,"","",Unspecified,"","",,IBC956207,,,,,,"",,,"Bird perched in the bushes in the forest-paramo ecotone. More great pics, info and videos of Colombian birds at: http://www.colombiabirding.comCOLOMBIA Birding WEBSITE http://www.youtube.com/user/COLOMBIABirdingDiegoCOLOMBIA Birding in YouTube http://www.flickr.com/photos/colombia_birding_diego/setsCOLOMBIA Birding in Flickr. Elevation: 4661 m. Date added to IBC: June 21, 2016.",,Urothraupis stolzmanni,bbbtan1,Species,,,2.00,4,"",659,1024
701662,Photo,Alagoas Foliage-gleaner,Philydor novaesi,,Carlos Otávio Gussoni,,,,,,Brazil,BR-PE,Pernambuco,,"Jaqueira (Frei Caneca Reserve) (-8.7373, -35.7933)",-8.7373000,-35.7933000,"",Foraging or Eating,Unspecified,"","",,IBC956431,,,,,,"",,,"Individual foraging on bromeliad. Elevation: 256 m. Date added to IBC: June 21, 2016.",,Philydor novaesi,alfgle1,Species,,,3.57,7,"",2033,3050
701673,Photo,"Gurney's Pitta",Hydrornis gurneyi,,Niels Poul Dreyer,,,,,,Thailand,TH-81,Krabi,,Khao Nor Chuchi,7.9011000,99.3006000,"","",Unspecified,"","",,IBC956819,,,,,,"",,,"Seek food. came into Yotin's hide. Elevation: 324 m. Date added to IBC: June 21, 2016.",,Hydrornis gurneyi,gurpit1,Species,,,3.56,9,"",434,650
701685,Photo,Mindoro Racquet-tail,Prioniturus mindorensis,,Desmond Allen,,,,,,Philippines,PH-MDC,Occidental Mindoro,,Sablayan Penal Colony,12.8105000,120.8820000,"","",Unspecified,"","",,IBC957352,,,,,,"",,,"single bird in open. Photo taken in 2001. Elevation: 71 m. Date added to IBC: June 21, 2016.",,Prioniturus mindorensis,minrat1,Species,,,1.00,5,"",360,333
701686,Photo,Mindoro Racquet-tail,Prioniturus mindorensis,,Desmond Allen,,,,,,Philippines,PH-MDC,Occidental Mindoro,,Sablayan Penal Colony,12.8105000,120.8820000,"","",Unspecified,"","",,IBC957353,,,,,,"",,,"single bird in open on banana leaf. Photo taken in 2001. Elevation: 71 m. Date added to IBC: June 21, 2016.",,Prioniturus mindorensis,minrat1,Species,,,1.80,5,"",360,333
701687,Photo,Sulu Hornbill,Anthracoceros montani,,Desmond Allen,,,,,,Philippines,PH-TAW,Tawi-Tawi,,Tawi-Tawi,5.2615929,119.8613016,"","",Unspecified,"","",,IBC957356,,,,,,"",,,"Single bird in tree, possibly immature as casque small and underparts brownish. Photo taken in 1999. Original IBC location name and coordinates: Tawi-Tawi (5.1457,120.02). Elevation: 0 m. Date added to IBC: June 21, 2016.",,Anthracoceros montani,sulhor2,Species,,,2.86,7,"",1022,772
701688,Photo,Mantanani Scops-Owl,Otus mantananensis,,Desmond Allen,,,,,,Philippines,PH-ROM,Romblon,,"Tablas Island (12.4352, 122.053)",12.4352000,122.0530000,"","",Unspecified,"","",,IBC957365,,,,,,"",,,"hiding in a bush. Photo taken in 2001. IBC scientific name: Otus mantananensis romblonis. Elevation: 350 m. Date added to IBC: June 21, 2016.",,Otus mantananensis,masowl2,Species,,,2.00,4,"",360,277
701690,Photo,Mountain Wren-Babbler,Gypsophila crassa,,Desmond Allen,,,,,,Malaysia,MY-12,Sabah,,"Mount Kinabalu National Park (6.0245, 116.547)",6.0245000,116.5470000,"","",Unspecified,"","",,IBC957376,,,,,,"",,,"bird peering round branch at photographer; flash. Photo taken in 2001. Elevation: 1812 m. Date added to IBC: June 21, 2016.",,Gypsophila crassa,mowbab1,Species,,,4.00,5,"",1469,1522
701691,Photo,Long-tailed Bush Warbler,Locustella caudata,,Desmond Allen,,,,,,Philippines,PH-IFU,Ifugao,,"Mount Polis (16.9836, 121.036)",16.9836000,121.0360000,"","",Unspecified,"","",,IBC957377,,,,,,"",,,"highly skulking!. Photo taken in 2001. IBC scientific name: Locustella caudata caudata. Elevation: 1986 m. Date added to IBC: June 21, 2016.",,Locustella caudata,ltbwar1,Species,,,2.00,4,"",699,1183
701692,Photo,White-bellied Munia,Lonchura leucogastra,,Desmond Allen,,,,,,Philippines,PH-CAG,Cagayan,,"Hamut Camp (17.5491, 121.946)",17.5491000,121.9460000,"","",Unspecified,"","",,IBC957378,,,,,,"",,,"small party in bamboo at Palay camp. Photo taken in 2007. Elevation: 820 m. Date added to IBC: June 21, 2016.",,Lonchura leucogastra,whbmun1,Species,,,2.00,4,"",1094,1282
701693,Photo,White-bellied Munia,Lonchura leucogastra,,Desmond Allen,,,,,,Philippines,PH-CAG,Cagayan,,"Hamut Camp (17.5491, 121.946)",17.5491000,121.9460000,"","",Unspecified,"","",,IBC957379,,,,,,"",,,"small party in bamboo at Palay camp. Photo taken in 2007. Elevation: 820 m. Date added to IBC: June 21, 2016.",,Lonchura leucogastra,whbmun1,Species,,,2.00,1,"",1384,1992
701694,Photo,Olive-capped Flowerpecker,Dicaeum nigrilore,,Desmond Allen,,,,,,Philippines,PH-BUK,Bukidnon,,"Mount Kitanglad (8.1291, 124.958)",8.1291000,124.9580000,"","",Unspecified,"","",,IBC957380,,,,,,"",,,"bird on branch at about 1600m. Photo taken in 1997. Elevation: 1877 m. Date added to IBC: June 21, 2016.",,Dicaeum nigrilore,olcflo1,Species,,,2.20,5,"",1236,1500
701695,Photo,Indigo Flycatcher (Rufous-vented),Eumyias indigo ruficrissa/cerviniventris,,Desmond Allen,,,,,,Malaysia,MY-12,Sabah,,"Mount Kinabalu National Park (6.0245, 116.547)",6.0245000,116.5470000,"","",Unspecified,"","",,IBC957386,,,,,,"",,,"bird on branch. Photo taken in 2001. IBC scientific name: Eumyias ruficrissa cerviniventris. Elevation: 1812 m. Date added to IBC: June 21, 2016.",,Eumyias indigo,indfly2,Group,,,3.00,4,"",2244,2718
701696,Photo,Aberrant Bush Warbler (Sunda),Horornis flavolivaceus [vulcanius Group],,Desmond Allen,,,,,,Malaysia,MY-12,Sabah,,"Mount Kinabalu National Park (6.0245, 116.547)",6.0245000,116.5470000,"","",Unspecified,"","",,IBC957391,,,,,,"",,,"bird in undergrowth. Photo taken in 2001. IBC scientific name: Horornis flavolivaceus vulcanius. Elevation: 1812 m. Date added to IBC: June 21, 2016.",,Horornis flavolivaceus,subwar4,Species,,,3.00,4,"",2161,2123
701697,Photo,Bornean Treepie,Dendrocitta cinerascens,,Desmond Allen,,,,,,Malaysia,MY-12,Sabah,,"Mount Kinabalu National Park (6.0245, 116.547)",6.0245000,116.5470000,"","",Unspecified,"","",,IBC957395,,,,,,"",,,"bird on branch. Photo taken in 2001. Elevation: 1812 m. Date added to IBC: June 21, 2016.",,Dendrocitta cinerascens,bortre1,Species,,,3.00,4,"",2362,3233
701698,Photo,White-tailed Stonechat,Saxicola leucurus,,Desmond Allen,,,,,,India,IN-AS,Assam,,Assam,26.3523359,92.8263150,"","",Unspecified,"","",,IBC957397,,,,,,"",,,"male on a manure heap. Photo taken in 1998. Original IBC location name and coordinates: Assam (26.0568,93.3398). Elevation: 311 m. Date added to IBC: June 21, 2016.",,Saxicola leucurus,whtsto2,Species,,,3.00,4,"",1762,2282
701699,Photo,White-tailed Stonechat,Saxicola leucurus,,Desmond Allen,,,,,,India,IN-AS,Assam,,Assam,26.3523359,92.8263150,"","",Unspecified,"","",,IBC957398,,,,,,"",,,"female on a manure heap. Photo taken in 1998. Original IBC location name and coordinates: Assam (26.0568,93.3398). Elevation: 311 m. Date added to IBC: June 21, 2016.",,Saxicola leucurus,whtsto2,Species,,,3.00,4,"",1768,2238
701700,Photo,White-throated Bulbul,Alophoixus flaveolus,,Desmond Allen,,,,,,Thailand,TH-,Thailand,,Thailand,15.0780594,101.0150350,"","",Unspecified,"","",,IBC957399,,,,,,"",,,"bird in a bush. near UmphangPhoto taken in 2002.near Umphang. Original IBC location name and coordinates: Western Thailand (14.5623,98.7671). Elevation: 86 m. Date added to IBC: June 21, 2016.",,Alophoixus flaveolus,whtbul1,Species,,,2.00,4,"",916,1350
701701,Photo,Chestnut-hooded Laughingthrush,Pterorhinus treacheri,,Desmond Allen,,,,,,Malaysia,MY-12,Sabah,,"Mount Kinabalu National Park (6.0245, 116.547)",6.0245000,116.5470000,Unknown – 1,"",Unspecified,"","",,IBC957423,,,,,,"",,,"bird on a branch. Photo taken in 2001. IBC scientific name: Garrulax treacheri. Elevation: 1812 m. Date added to IBC: June 21, 2016.",,Pterorhinus treacheri,chhlau1,Species,,,3.00,4,"",2039,2397
701702,Photo,Sunda Cuckooshrike,Coracina larvata,,Desmond Allen,,,,,,Malaysia,MY-12,Sabah,,"Mount Kinabalu National Park (6.0245, 116.547)",6.0245000,116.5470000,"","",Unspecified,"","",,IBC957424,,,,,,"",,,"bird perched on top of dead branch? against light. Photo taken in 2001. Elevation: 1812 m. Date added to IBC: June 21, 2016.",,Coracina larvata,suncus1,Species,,,3.00,4,"",1808,2126
701703,Photo,Bar-bellied Cuckooshrike (Bar-bellied),Coracina striata [striata Group],,Desmond Allen,,,,,,Philippines,PH-LAG,Laguna,,"Mount Makiling National Park (14.1322, 121.196)",14.1322000,121.1960000,"","",Unspecified,"","",,IBC957425,,,,,,"",,,"bird on a branch against the sky. Photo taken in 2006. IBC scientific name: Coracina striata striata. Elevation: 773 m. Date added to IBC: June 21, 2016.",,Coracina striata,babcuc3,Group,,,3.00,4,"",1476,2236
